patent_id,citation_sequence,citation_document_number,citation_date,record_name,wipo_kind,citation_category
10751140,186,2017/0049471,2017-02-01,Gaffney et al.,A1,cited by applicant
9918012,20,2006/0169973,2006-08-01,Isa et al.,A1,cited by applicant
10285111,16,2012/0250629,2012-10-01,Mo,A1,cited by examiner
10698569,50,2019/0028573,2019-01-01,Cook et al.,A1,cited by applicant
8611887,2,2009/0318193,2009-12-01,Littlefield et al.,A1,cited by applicant
9732951,1,2011/0032696,2011-02-01,Kim,A1,cited by examiner
10706518,108,2014/0118584,2014-05-01,Lee et al.,A1,cited by applicant
10395887,5,2006/0169910,2006-08-01,Frosien,A1,cited by applicant
D757875,2,2004/0140306,2004-07-01,Arias,A1,cited by applicant
D547542,0,2003/0094191,2003-05-01,Lin,A1,cited by other
7609584,2,2004/0233773,2004-11-01,Shin,A1,cited by other
8695081,30,2007/0079376,2007-04-01,Robert et al.,A1,cited by examiner
8203279,1,2012/0081017,2012-04-01,Darshan et al.,A1,cited by examiner
9954653,5,2013/0039321,2013-02-01,Kim,A1,cited by examiner
10744977,0,2006/0255909,2006-11-01,Pavatich,A1,cited by examiner
11453262,4,2020/0263751,2020-08-01,Ito,A1,cited by examiner
10482930,2,2013/0311717,2013-11-01,Kim,A1,cited by examiner
10013593,4,2012/0200524,2012-08-01,Vallis,A1,cited by examiner
10655210,1,2010/0089621,2010-04-01,Stoss et al.,A1,cited by applicant
10244793,47,2005/0172976,2005-08-01,Newman et al.,A1,cited by applicant
9428314,99,2004/0122713,2004-06-01,"Hill, Sr. et al.",A1,cited by applicant
8755897,31,2002/0019586,2002-02-01,Teller et al.,A1,cited by applicant
10888327,133,2011/0042439,2011-02-01,Johnson et al.,A1,cited by applicant
9250036,29,2007/0277421,2007-12-01,Perkins et al.,A1,cited by applicant
11451096,507,2013/0207604,2013-08-01,Zeine,A1,cited by applicant
10194013,5,2012/0243528,2012-09-01,Frye,A1,cited by examiner
10245027,1253,2016/0242781,2016-08-01,"Shelton, IV et al.",A1,cited by applicant
10423573,12,2018/0196818,2018-07-01,Maybee et al.,A1,cited by applicant
10373433,97,2010/0291995,2010-11-01,Vicens et al.,A1,cited by applicant
9939500,2,2013/0207887,2013-08-01,Raffle,A1,cited by applicant
9475323,53,2008/0181703,2008-07-01,Ito et al.,A1,cited by applicant
10684821,5,2006/0005156,2006-01-01,Korpipaa et al.,A1,cited by applicant
10585952,1,2002/0073019,2002-06-01,Deaton,A1,cited by applicant
7254249,6,2002/0106105,2002-08-01,Pelly et al.,A1,cited by other
9401442,2,2010/0186798,2010-07-01,Tormen et al.,A1,cited by examiner
11034417,10,2015/0291267,2015-10-01,Khachaturian,A1,cited by applicant
10496261,0,2003/0174173,2003-09-01,Nishiyama,A1,cited by examiner
7661459,9,2005/0193760,2005-09-01,Moran et al.,A1,cited by other
8916548,0,2011/0281838,2011-11-01,Wunberg et al.,A1,cited by applicant
8710496,0,2010/0150513,2010-06-01,Zhang et al.,A1,cited by applicant
9114665,1,2009/0075075,2009-03-01,Abrams,A1,cited by examiner
9773648,191,2005/0239282,2005-10-01,Chen et al.,A1,cited by applicant
10396887,244,2013/0109317,2013-05-01,Kikuchi et al.,A1,cited by applicant
9304609,11,2011/0297457,2011-12-01,Yeh,A1,cited by examiner
8453652,102,2003/0208231,2003-11-01,"Williamson, IV et al.",A1,cited by applicant
11271566,40,2017/0108890,2017-04-01,Nagasawa,A1,cited by examiner
10413159,13,2011/0280810,2011-11-01,Hauger,A1,cited by examiner
8743776,13,2008/0244148,2008-10-01,Nix et al.,A1,cited by applicant
10703474,5,2017/0136887,2017-05-01,Ricci,A1,cited by examiner
11450151,20,2014/0323836,2014-10-01,Kusukame,A1,cited by examiner
11272338,32,2012/0135681,2012-05-01,Adams et al.,A1,cited by applicant
10261091,6,2013/0016140,2013-01-01,Oniki,A1,cited by applicant
9351907,52,2007/0007162,2007-01-01,Buller,A1,cited by applicant
9328853,1,2010/0019106,2010-01-01,Sisley,A1,cited by applicant
10366158,1371,2009/0234638,2009-09-01,Ranjan et al.,A1,cited by applicant
11262835,3,2009/0110235,2009-04-01,Marti,A1,cited by applicant
10757027,5,2005/0050538,2005-03-01,Kawamata et al.,A1,cited by applicant
10902017,12,2007/0260591,2007-11-01,Ahi,A1,cited by examiner
9596452,7,2004/0136567,2004-07-01,Billinghurst et al.,A1,cited by applicant
10450576,12,2012/0023619,2012-01-01,Samboju et al.,A1,cited by applicant
10528582,1,2002/0123865,2002-09-01,Whitney et al.,A1,cited by applicant
9946827,3,2012/0139101,2012-06-01,Shimada,A1,cited by examiner
9311377,83,2006/0133343,2006-06-01,Huang,A1,cited by applicant
10825116,1,2002/0162276,2002-11-01,Biton,A1,cited by examiner
9312929,149,2009/0135944,2009-05-01,Dyer et al.,A1,cited by applicant
10981148,6,2002/0112609,2002-08-01,Wong,A1,cited by applicant
9973385,7,2013/0139234,2013-05-01,Inbaraj et al.,A1,cited by examiner
11132189,5,2008/0028385,2008-01-01,Brown,A1,cited by examiner
10650241,13,2012/0218471,2012-08-01,Gratton,A1,cited by applicant
10713131,8,2018/0063000,2018-03-01,Wu,A1,cited by examiner
8301206,8,2005/0202852,2005-09-01,Wada,A1,cited by other
8768508,6,2013/0151042,2013-06-01,Kim et al.,A1,cited by examiner
10629435,137,2015/0200110,2015-07-01,Li et al.,A1,cited by applicant
7789921,11,2006/0016335,2006-01-01,Cox et al.,A1,cited by other
11308075,499,2019/0142535,2019-05-01,Seow et al.,A1,cited by applicant
D698164,3,2002/0003368,2002-01-01,VanDeRiet et al.,A1,cited by applicant
10256044,4,2017/0301469,2017-10-01,Juhng,A1,cited by examiner
10099378,38,2006/0200272,2006-09-01,Kawai,A1,cited by examiner
8785407,16,2003/0224353,2003-12-01,Stein et al.,A1,cited by applicant
8878120,4,2010/0290217,2010-11-01,Anantram et al.,A1,cited by examiner
10230566,164,2006/0095573,2006-05-01,Carle et al.,A1,cited by applicant
10877420,4,2013/0155428,2013-06-01,Mizuno,A1,cited by examiner
10363271,14,2014/0044792,2014-02-01,Lacza et al.,A1,cited by applicant
8105625,16,2007/0141137,2007-06-01,Nagahara et al.,A1,cited by other
7309003,11,2004/0117302,2004-06-01,Weichert et al.,A1,cited by examiner
10022435,115,2014/0134201,2014-05-01,Tureci et al.,A1,cited by applicant
9732330,19,2010/0311110,2010-12-01,Thompson et al.,A1,cited by applicant
9662015,55,2013/0030711,2013-01-01,Korhonen,A1,cited by applicant
10481167,12,2011/0312059,2011-12-01,Moe,A1,cited by applicant
9324155,7,2007/0053563,2007-03-01,Tu,A1,cited by examiner
8969355,1,2014/0315921,2014-10-01,Bang-Andersen et al.,A1,cited by applicant
9119533,75,2012/0065937,2012-03-01,De Graff,A1,cited by applicant
11075799,8,2009/0300093,2009-12-01,Griffiths et al.,A1,cited by applicant
8906054,75,2005/0010197,2005-01-01,Lau et al.,A1,cited by applicant
8433127,199,2007/0084911,2007-04-01,Crowell,A1,cited by applicant
10404436,1,2003/0123409,2003-07-01,Kwak et al.,A1,cited by applicant
8932790,9,2011/0236818,2011-09-01,Yamada et al.,A1,cited by applicant
8348898,53,2004/0260233,2004-12-01,Garibotto et al.,A1,cited by other
9519664,8,2010/0050172,2010-02-01,Ferris,A1,cited by applicant
10025338,21,2015/0057820,2015-02-01,Kefayati,A1,cited by examiner
11413631,22,2018/0207573,2018-07-01,Perl-Olshavang et al.,A1,cited by applicant
9952106,366,2014/0055375,2014-02-01,Kim et al.,A1,cited by applicant
11208718,4,2007/0160507,2007-07-01,Satoh et al.,A1,cited by applicant
9174210,7,2006/0213964,2006-09-01,Excoffier et al.,A1,cited by examiner
10636942,18,2013/0126917,2013-05-01,Kitai,A1,cited by examiner
10715181,12,2014/0380126,2014-12-01,Yekhanin et al.,A1,cited by applicant
9020446,36,2010/0232474,2010-09-01,Rofougaran et al.,A1,cited by applicant
10039079,15,2007/0047480,2007-03-01,Suga,A1,cited by examiner
9222179,16,2012/0132538,2012-05-01,Cole et al.,A1,cited by applicant
9975592,0,2002/0005619,2002-01-01,Cote,A1,cited by examiner
9878162,39,2009/0207028,2009-08-01,Kubey et al.,A1,cited by applicant
10483768,179,2010/0034238,2010-02-01,Bennett,A1,cited by applicant
10311871,2288,2015/0106093,2015-04-01,Weeks et al.,A1,cited by applicant
9261461,85,2003/0143580,2003-07-01,Straus,A1,cited by applicant
8670262,8,2008/0005518,2008-01-01,Gillingham et al.,A1,cited by applicant
8296733,2,2005/0149583,2005-07-01,Baskaran et al.,A1,cited by examiner
10869681,22,2009/0259292,2009-10-01,Bonhoeffer,A1,cited by applicant
10706434,591,2015/0187100,2015-07-01,Berry et al.,A1,cited by applicant
11324744,25,2015/0176076,2015-06-01,Yang et al.,A1,cited by applicant
10265074,22,2003/0066858,2003-04-01,Holgersson,A1,cited by applicant
8659585,7,2010/0265403,2010-10-01,Hikosaka,A1,cited by applicant
10817156,66,2010/0082427,2010-04-01,Burgener et al.,A1,cited by applicant
9389712,274,2013/0244574,2013-09-01,Okuno et al.,A1,cited by applicant
11423908,1756,2016/0267904,2016-09-01,Biadsy et al.,A1,cited by applicant
10380548,42,2008/0244741,2008-10-01,Gustafson et al.,A1,cited by applicant
10683676,8,2016/0251867,2016-09-01,Cifelli,A1,cited by applicant
10050988,127,2005/0010821,2005-01-01,Cooper et al.,A1,cited by applicant
9467694,22,2011/0228852,2011-09-01,Budagavi,A1,cited by applicant
10478653,1,2011/0278335,2011-11-01,Jesewitz,A1,cited by examiner
8284092,1,2007/0268172,2007-11-01,Watanabe,A1,cited by examiner
10821223,0,2001/0014286,2001-08-01,Peters,A1,cited by applicant
7210246,2,2002/0094265,2002-07-01,Momoki,A1,cited by other
10963524,98,2005/0198299,2005-09-01,Beck et al.,A1,cited by applicant
8877101,19,2006/0185715,2006-08-01,Hammerbacher et al.,A1,cited by applicant
8453793,0,2010/0170746,2010-07-01,Restuccia et al.,A1,cited by examiner
9838345,111,2012/0166999,2012-06-01,Thatcher et al.,A1,cited by applicant
9026909,63,2007/0136656,2007-06-01,Nydam et al.,A1,cited by examiner
9152964,8,2007/0192275,2007-08-01,Foygel et al.,A1,cited by applicant
10291131,35,2010/0061126,2010-03-01,Huynh et al.,A1,cited by applicant
10505718,95,2015/0264519,2015-09-01,Mirzaei,A1,cited by applicant
8758136,97,2007/0052177,2007-03-01,Ikeda et al.,A1,cited by applicant
10586554,20,2008/0059195,2008-03-01,Brown,A1,cited by examiner
9800860,148,2014/0240464,2014-08-01,Lee,A1,cited by applicant
8279461,18,2001/0054088,2001-12-01,Naito et al.,A1,cited by other
11222371,8,2005/0246245,2005-11-01,Satchell et al.,A1,cited by applicant
9713550,5,2007/0027414,2007-02-01,Hoffman,A1,cited by examiner
10068261,121,2009/0271255,2009-10-01,Utter et al.,A1,cited by applicant
11057991,38,2005/0187608,2005-08-01,O'Hara,A1,cited by applicant
10299688,1,2006/0235322,2006-10-01,Simske et al.,A1,cited by applicant
10428325,63,2009/0208955,2009-08-01,Robins et al.,A1,cited by applicant
8145884,12,2007/0186028,2007-08-01,Kissell,A2,cited by other
D695970,3,2009/0120375,2009-05-01,Dyer,A1,cited by examiner
8275878,2,2007/0124813,2007-05-01,Ormazabal et al.,A1,cited by examiner
10451875,26,2010/0226017,2010-09-01,Spaller,A1,cited by applicant
8062337,23,2009/0240283,2009-09-01,Carls et al.,A1,cited by other
11055748,126,2012/0226560,2012-09-01,Chang et al.,A1,cited by applicant
10136434,25,2003/0152331,2003-08-01,Dair et al.,A1,cited by applicant
9971965,8,2014/0019392,2014-01-01,Buibas,A1,cited by applicant
7322395,0,2001/0030028,2001-10-01,Poppema,A1,cited by other
10932903,33,2006/0183383,2006-08-01,Asmus et al.,A1,cited by applicant
10852151,51,2013/0311315,2013-11-01,Zises,A1,cited by applicant
9585658,742,2013/0105548,2013-05-01,Hodgkinson et al.,A1,cited by applicant
9232941,631,2013/0200132,2013-08-01,Moore et al.,A1,cited by applicant
8316201,40,2003/0028704,2003-02-01,Mukaida et al.,A1,cited by other
10997188,219,2016/0094495,2016-03-01,Ahuja et al.,A1,cited by applicant
9820684,460,2005/0137536,2005-06-01,Gonnelli,A1,cited by applicant
8031658,7,2009/0088195,2009-04-01,Rosa et al.,A1,cited by examiner
8396236,0,2005/0096002,2005-05-01,Klinke et al.,A1,cited by applicant
8465583,10,2007/0221092,2007-09-01,Brown et al.,A1,cited by applicant
10812539,1,2005/0054381,2005-03-01,Lee,A1,cited by examiner
9107886,522,2013/0266553,2013-10-01,Ballance et al.,A1,cited by applicant
9615882,7,2007/0139294,2007-06-01,Dunn et al.,A1,cited by applicant
10401656,3,2003/0133641,2003-07-01,Yoo,A1,cited by applicant
11244478,158,2018/0263479,2018-09-01,Ito,A1,cited by examiner
8143983,17,2008/0278269,2008-11-01,Ramirez et al.,A1,cited by other
11096596,1,2005/0216199,2005-09-01,Banet,A1,cited by applicant
9972014,8,2017/0132421,2017-05-01,Unitt,A1,cited by examiner
10390913,312,2016/0067013,2016-03-01,Morton et al.,A1,cited by applicant
8712078,49,2007/0280495,2007-12-01,Abolfathi,A1,cited by applicant
10484243,54,2010/0107241,2010-04-01,Jaber et al.,A1,cited by applicant
7740568,17,2006/0100069,2006-05-01,Dibble et al.,A1,cited by other
11219882,1,2007/0003800,2007-01-01,Dallas et al.,A1,cited by applicant
8175953,53,2003/0119525,2003-06-01,Rajkotia,A1,cited by other
8989408,5,2011/0137754,2011-06-01,Fernandez,A1,cited by examiner
9133793,0,2003/0015596,2003-01-01,Evans,A1,cited by examiner
8512244,189,2010/0041971,2010-02-01,"Goode, Jr. et al.",A1,cited by applicant
11070392,36,2010/0332615,2010-12-01,Short et al.,A1,cited by applicant
10776956,4,2013/0173275,2013-07-01,Liu,A1,cited by examiner
8947592,4,2007/0003168,2007-01-01,Oliver,A1,cited by applicant
10321821,34,2013/0286168,2013-10-01,Park et al.,A1,cited by applicant
10327781,107,2009/0287291,2009-11-01,Becking et al.,A1,cited by applicant
8085685,2,2002/0116694,2002-08-01,Fournier et al.,A1,cited by other
10759545,54,2018/0037331,2018-02-01,Suciu et al.,A1,cited by applicant
8206565,79,2003/0187338,2003-10-01,Say et al.,A1,cited by other
11013635,33,2007/0191918,2007-08-01,MacHold et al.,A1,cited by applicant
10511567,775,2014/0059379,2014-02-01,Ren et al.,A1,cited by applicant
10603386,0,2002/0082362,2002-06-01,Brocchini et al.,A1,cited by applicant
RE48944,86,2013/0009725,2013-01-01,Heaney,A1,cited by applicant
10684760,4,2004/0036682,2004-02-01,Zobuchi,A1,cited by applicant
10719765,201,2013/0198832,2013-08-01,Draluk,A1,cited by applicant
9668431,4,2005/0023382,2005-02-01,Fiedler et al.,A1,cited by applicant
9789307,20,2010/0010383,2010-01-01,Skelton et al.,A1,cited by applicant
8744972,2,2004/0010489,2004-01-01,Rio,A1,cited by applicant
10987004,217,2010/0298657,2010-11-01,McCombie et al.,A1,cited by applicant
8219019,1,2006/0222394,2006-10-01,Koshida,A1,cited by examiner
10593346,294,2003/0188005,2003-10-01,Yoneda et al.,A1,cited by applicant
8026032,0,2005/0238980,2005-10-01,Yamashita et al.,A1,cited by other
9207987,32,2009/0094380,2009-04-01,Qiu et al.,A1,cited by examiner
10381870,24,2004/0024483,2004-02-01,Holcombe,A1,cited by applicant
10393508,584,2017/0083730,2017-03-01,Feng et al.,A1,cited by applicant
9515494,53,2008/0255901,2008-10-01,Carroll et al.,A1,cited by applicant
8554256,25,2009/0104879,2009-04-01,Moulsley et al.,A1,cited by examiner
8875607,296,2006/0089525,2006-04-01,Mamo,A1,cited by applicant
7942909,49,2005/0261687,2005-11-01,Garamszegi et al.,A1,cited by other
11379924,174,2015/0364028,2015-12-01,Child et al.,A1,cited by applicant
8776144,5,2006/0088023,2006-04-01,Muller,A1,cited by applicant
11024930,3,2015/0147626,2015-05-01,Tajima,A1,cited by examiner
RE46028,82,2006/0278405,2006-12-01,Turley et al.,A1,cited by applicant
8372930,9,2009/0105423,2009-04-01,Pawlow et al.,A1,cited by applicant
11205946,114,2005/0077879,2005-04-01,Near,A1,cited by applicant
10698223,60,2006/0092131,2006-05-01,Kuroki,A1,cited by applicant
10586227,742,2015/0032625,2015-01-01,Dill,A1,cited by applicant
10410076,390,2014/0052553,2014-02-01,Uzo,A1,cited by applicant
9941813,71,2005/0017701,2005-01-01,Hsu,A1,cited by applicant
10949220,6,2005/0278697,2005-12-01,Hodge,A1,cited by examiner
7917596,2,2009/0037553,2009-02-01,Yuan et al.,A1,cited by examiner
8982678,3,2008/0151409,2008-06-01,Mizukoshi et al.,A1,cited by examiner
D951361,6,2013/0341885,2013-12-01,Nagakubo,A1,cited by applicant
7691691,13,2003/0134519,2003-07-01,Yudasaka et al.,A1,cited by other
9838325,2,2010/0020686,2010-01-01,Lee et al.,A1,cited by applicant
11392081,1,2004/0037590,2004-02-01,Morioka et al.,A1,cited by applicant
9764065,112,2006/0257445,2006-11-01,Tropsha,A1,cited by applicant
9620341,75,2014/0158864,2014-06-01,Brown et al.,A1,cited by applicant
8066759,85,2005/0080459,2005-04-01,Jacobson et al.,A1,cited by examiner
10461311,0,2010/0104936,2010-04-01,Meintschel,A1,cited by applicant
8491145,69,2007/0153537,2007-07-01,Scott et al.,A1,cited by applicant
10946813,6,2008/0252882,2008-10-01,Kesterson,A1,cited by applicant
10292571,14,2008/0071144,2008-03-01,Fein,A1,cited by examiner
D747596,19,2009/0094855,2009-04-01,Finkelstein,A1,cited by applicant
10875842,46,2018/0118757,2018-05-01,Li et al.,A1,cited by applicant
9615582,3,2002/0045667,2002-04-01,Baker et al.,A1,cited by applicant
9507267,4,2005/0128461,2005-06-01,Beems et al.,A1,cited by applicant
9072536,137,2004/0094597,2004-05-01,Whitman et al.,A1,cited by applicant
7970013,13,2001/0038626,2001-11-01,Dynarski et al.,A1,cited by other
10089072,364,2004/0107169,2004-06-01,Lowe,A1,cited by applicant
9930424,5,2012/0110620,2012-05-01,Kilar et al.,A1,cited by examiner
7676846,13,2003/0005246,2003-01-01,Peinado,A1,cited by other
10333664,11,2017/0339708,2017-11-01,Rask,A1,cited by examiner
10209833,38,2008/0042994,2008-02-01,Gillespie et al.,A1,cited by applicant
10298629,3,2015/0006611,2015-01-01,Johnston et al.,A1,cited by applicant
10617744,1,2002/0143283,2002-10-01,Braverman et al.,A1,cited by applicant
8617069,377,2008/0287764,2008-11-01,Rasdal et al.,A1,cited by applicant
10885419,55,2019/0236434,2019-08-01,Lowe,A1,cited by applicant
10621580,31,2004/0088271,2004-05-01,Cleckler et al.,A1,cited by applicant
10691295,775,2010/0321151,2010-12-01,Matsuura et al.,A1,cited by applicant
9075566,536,2013/0229351,2013-09-01,"Whitt, III",A1,cited by applicant
9947993,9,2014/0015729,2014-01-01,Uejima,A1,cited by examiner
7878984,26,2003/0069522,2003-04-01,Jacobsen et al.,A1,cited by other
11440350,105,2019/0330452,2019-10-01,Isitman et al.,A1,cited by applicant
9389367,86,2012/0026728,2012-02-01,Lou et al.,A1,cited by applicant
10762293,295,2004/0225746,2004-11-01,Niell et al.,A1,cited by applicant
9168071,215,2005/0203516,2005-09-01,Biedermann et al.,A1,cited by applicant
RE43800,1,2002/0030541,2002-03-01,Tsutsui et al.,A1,cited by other
9924559,24,2008/0293404,2008-11-01,Scherzer et al.,A1,cited by applicant
11007208,34,2011/0230654,2011-09-01,Butler et al.,A1,cited by applicant
9461176,73,2008/0258140,2008-10-01,Lee et al.,A1,cited by applicant
8785002,0,2009/0167166,2009-07-01,Bach et al.,A1,cited by applicant
9003527,67,2007/0171885,2007-07-01,Bhagwat et al.,A1,cited by examiner
8918112,53,2009/0203385,2009-08-01,Khandekar et al.,A1,cited by applicant
8447802,16,2007/0006292,2007-01-01,Jaenicke,A1,cited by examiner
8918807,78,2010/0175078,2010-07-01,Knudson et al.,A1,cited by applicant
8940870,4,2008/0182294,2008-07-01,Dolly,A1,cited by applicant
10679063,2,2007/0101266,2007-05-01,Kim,A1,cited by examiner
8212206,5,2003/0111596,2003-06-01,Becker et al.,A1,cited by examiner
9631610,7,2004/0193058,2004-09-01,Montegrande et al.,A1,cited by applicant
8640198,155,2009/0287921,2009-11-01,Zhu et al.,A1,cited by applicant
8561024,2,2008/0115114,2008-05-01,Palaparthi et al.,A1,cited by examiner
10993069,261,2012/0239761,2012-09-01,Linner et al.,A1,cited by applicant
10552193,180,2014/0068611,2014-03-01,McGrath et al.,A1,cited by applicant
10129885,7,2017/0064618,2017-03-01,"Katar, Sr.",A1,cited by examiner
10831553,7,2016/0072704,2016-03-01,Angel et al.,A1,cited by applicant
10015241,392,2008/0155061,2008-06-01,Afergan et al.,A1,cited by applicant
10004558,356,2015/0230858,2015-08-01,Long et al.,A1,cited by applicant
10521283,0,2002/0010844,2002-01-01,Noel et al.,A1,cited by applicant
9191081,23,2014/0145890,2014-05-01,Ramberg et al.,A1,cited by examiner
D644225,0,2005/0276651,2005-12-01,McLoone et al.,A1,cited by examiner
10808109,6,2005/0022303,2005-10-01,Cernohous,A1,cited by applicant
10826273,0,2003/0179790,2003-09-01,Bouda et al.,A1,cited by applicant
D729870,3,2009/0253460,2009-10-01,Varone et al.,A1,cited by applicant
9985565,28,2015/0123579,2015-05-01,Liu et al.,A1,cited by applicant
10587137,10,2013/0307481,2013-11-01,Ding,A1,cited by examiner
9994002,0,2002/0127421,2002-09-01,Fukada et al.,A1,cited by applicant
10789635,4,2013/0317921,2013-11-01,Havas,A1,cited by examiner
11343337,110,2015/0170060,2015-06-01,Blechner et al.,A1,cited by applicant
9633274,7,2015/0003542,2015-01-01,Barbu,A1,cited by examiner
9735628,79,2014/0044281,2014-02-01,Ganem et al.,A1,cited by applicant
10749711,55,2013/0242718,2013-09-01,Zhang,A1,cited by applicant
8175734,12,2005/0038549,2005-02-01,Loughran et al.,A1,cited by other
9519561,7,2006/0128373,2006-06-01,Cochrane,A1,cited by examiner
9118226,95,2006/0211871,2006-09-01,Dai et al.,A1,cited by applicant
10448495,52,2017/0113355,2017-04-01,Genetti et al.,A1,cited by applicant
9387505,20,2009/0015908,2009-01-01,Ando et al.,A1,cited by applicant
9051183,4,2010/0330452,2010-12-01,Paik et al.,A1,cited by examiner
10121485,6,2010/0322446,2010-12-01,Strahl,A1,cited by applicant
10340135,1248,2016/0145738,2016-05-01,Liu et al.,A1,cited by applicant
11376363,25,2012/0116319,2012-05-01,Grunhut,A1,cited by applicant
7948236,3,2004/0193665,2004-09-01,Mallinson,A1,cited by other
8622930,813,2005/0101979,2005-05-01,Alden,A1,cited by applicant
7164533,5,2002/0090650,2002-07-01,Empedocles et al.,A1,cited by other
11159128,9,2009/0045872,2009-02-01,Kenington,A1,cited by applicant
8821370,6,2004/0231678,2004-11-01,Fierro,A1,cited by applicant
9600976,220,2011/0111827,2011-05-01,Nicely et al.,A1,cited by applicant
10587634,49,2019/0028507,2019-01-01,Chen et al.,A1,cited by applicant
11443090,3,2020/0042570,2020-02-01,Tamura,A1,cited by examiner
RE49221,6,2003/0158491,2003-08-01,Krivitski et al.,A1,cited by examiner
8832185,77,2009/0125521,2009-05-01,Petty,A1,cited by applicant
10522734,2,2005/0157093,2005-07-01,Murai,A1,cited by examiner
10817869,24,2005/0236480,2005-10-01,Vrotsos et al.,A1,cited by applicant
9867674,17,2006/0184396,2006-08-01,Dennis et al.,A1,cited by applicant
9767336,2,2005/0206500,2005-09-01,Ferren et al.,A1,cited by applicant
8100770,18,2003/0107502,2003-06-01,Alexander,A1,cited by other
8417380,62,2006/0190345,2006-08-01,Crowley,A1,cited by applicant
9905420,402,2010/0162752,2010-07-01,Tabata et al.,A1,cited by applicant
10263791,9,2015/0156194,2015-06-01,Modi et al.,A1,cited by applicant
7791876,3,2007/0221360,2007-09-01,Hayashi et al.,A1,cited by examiner
10014763,1,2007/0159751,2007-07-01,Hussein et al.,A1,cited by applicant
10919203,34,2020/0339784,2020-10-01,LaPray et al.,A1,cited by applicant
9080729,12,2002/0163006,2002-11-01,Yoganandan et al.,A1,cited by applicant
D531736,11,2004/0134750,2004-07-01,"Luoma, II",A1,cited by other
10618918,21,2014/0206648,2014-07-01,Reddy et al.,A1,cited by applicant
9671877,20,2013/0009907,2013-01-01,Rosenberg et al.,A1,cited by examiner
10155421,4,2010/0288046,2010-11-01,Sy et al.,A1,cited by applicant
9317270,53,2003/0225563,2003-12-01,Gonos,A1,cited by applicant
11294293,21,2018/0129139,2018-05-01,Jiang,A1,cited by examiner
10367586,1,2009/0052907,2009-02-01,Batshon,A1,cited by examiner
9476208,40,2009/0193748,2009-08-01,Boo et al.,A1,cited by applicant
10365340,1,2014/0148657,2014-05-01,Hendler,A1,cited by examiner
8804974,2,2003/0161097,2003-08-01,Le et al.,A1,cited by applicant
11058317,3,2004/0133086,2004-07-01,Ciurczak et al.,A1,cited by applicant
7166898,0,2002/0160563,2002-10-01,Ghoshal,A1,cited by other
10537207,206,2017/0370595,2017-12-01,Yang et al.,A1,cited by applicant
10710633,263,2010/0097239,2010-04-01,Campbell et al.,A1,cited by applicant
10458908,3,2017/0118925,2017-05-01,Noguchi,A1,cited by examiner
9493571,5,2014/0256683,2014-09-01,Tabuteau,A1,cited by applicant
10121318,218,2013/0065678,2013-03-01,Nelson et al.,A1,cited by applicant
7612773,3,2003/0125757,2003-07-01,Patel et al.,A1,cited by other
8608498,2,2012/0184152,2012-07-01,Kataoka et al.,A1,cited by examiner
9314371,31,2011/0313499,2011-12-01,Smith et al.,A1,cited by applicant
11406495,362,2007/0162058,2007-07-01,Kraemer et al.,A1,cited by applicant
10844333,1,2009/0151752,2009-06-01,Mui et al.,A1,cited by applicant
8833309,2,2012/0160182,2012-06-01,So et al.,A1,cited by examiner
10701047,11,2004/0081320,2004-04-01,Jordan,A1,cited by applicant
9897889,5,2012/0038964,2012-02-01,De Wind et al.,A1,cited by applicant
8990083,84,2007/0260684,2007-11-01,Sharma et al.,A1,cited by applicant
9209277,1,2008/0029814,2008-02-01,Khalil,A1,cited by applicant
11444791,125,2020/0044751,2020-02-01,Goergen et al.,A1,cited by applicant
11100338,1,2015/0336547,2015-11-01,Dagan,A1,cited by examiner
11093590,16,2016/0052574,2016-02-01,Khripin,A1,cited by examiner
7872106,12,2007/0072797,2007-03-01,Robinson et al.,A1,cited by other
8933134,13,2008/0254150,2008-10-01,Rheins et al.,A1,cited by applicant
8460354,4,2011/0009930,2011-01-01,Officier et al.,A1,cited by applicant
9080098,126,2008/0081866,2008-04-01,Gong et al.,A1,cited by applicant
10653845,10,2014/0031764,2014-01-01,Abe,A1,cited by examiner
10360150,2,2003/0009623,2003-01-01,Arimilli et al.,A1,cited by applicant
10445282,4,2011/0307639,2011-12-01,Dai,A1,cited by examiner
9813331,17,2006/0031439,2006-02-01,Saffre,A1,cited by applicant
11307800,1,2004/0111250,2004-06-01,Hensley,A1,cited by examiner
10529332,1276,2013/0304479,2013-11-01,Teller et al.,A1,cited by applicant
11291483,67,2012/0059376,2012-03-01,Rains et al.,A1,cited by applicant
9020640,45,2006/0119304,2006-06-01,Farritor et al.,A1,cited by applicant
9930297,52,2008/0052123,2008-02-01,Iliff,A1,cited by applicant
9021177,145,2011/0246852,2011-10-01,Sabbag,A1,cited by applicant
10022125,36,2006/0025816,2006-02-01,Shelton,A1,cited by applicant
7555178,0,2004/0136647,2004-07-01,Mizuno et al.,A1,cited by examiner
8105368,116,2007/0167949,2007-07-01,Altarac et al.,A1,cited by other
10284813,90,2015/0264309,2015-09-01,Chastney et al.,A1,cited by applicant
11171025,734,2007/0032054,2007-02-01,Ramaswamy et al.,A1,cited by applicant
7836804,4,2005/0139459,2005-06-01,Gass et al.,A1,cited by other
9414863,125,2007/0005063,2007-01-01,Bruneau,A1,cited by applicant
